"product_title","store_name","store_rating","offerpageurl","store_review_count","store_reviews_page_url","price","shipping","on_sale","original_price","product_condition"
"Xiaomi 11i 5G Hypercharge (Pacific Pearl,8GB-128GB)","Flipkart",,"http://www.flipkart.com/xiaomi-11i-hypercharge-5g-pacific-pearl-128-gb/p/itme4127956af8b6?pid=MOBG9QWVEVKFSSHJ&lid=LSTMOBG9QWVEVKFSSHJMVGKZ8&marketplace=FLIPKART&cmpid=content_mobile_8965229628_gmc","0",,"₹25,499.00","Delivery date and cost shown at checkout","false",,"NEW"
"Xiaomi 11i 5G (Stealth Black,8GB-128GB)","Reliance Digital",,"https://www.reliancedigital.in/xiaomi-11i-5g-128-gb-8-gb-stealth-black-mobile-phone/p/492574890?srsltid=AfmBOooqaUNm9QCQ1V_nbFeZoHbcpqVzFFosFIeyt6YNYnt8ULvFYCHFjPI","0",,"₹22,999.00","Free delivery by Wed, 9 Aug","false",,"NEW"
"Buy Refurbished Xiaomi 11i 5G - Refurbished - Camo Green - 128 GB/8 GB - Good by Cashify","Cashify",,"https://www.cashify.in/buy-refurbished-mobile-phones/renewed-xiaomi-11i/91093?srsltid=AfmBOooqmiMPiUJuy1-qvWBf1szoiB8zg2NGbIfwlff5vrGqMs-KI6on5sA","0",,"₹17,399.00","Free delivery by Thu, 17 Aug","false",,"REFURBISHED"
"Xiaomi 11i Hypercharge 5G","Arnav telecom",,"https://arnavtelecom.com/product/xiaomi-11i-hypercharge-5g/?attribute_pa_color=stealth-black&attribute_pa_variant=6gb128gb","0",,"₹26,999.00","Free delivery by Thu, 10 Aug","false",,"NEW"
"Buy Refurbished Xiaomi 11i Hypercharge 5G - Refurbished - Pacific Pearl - 128 GB/6 GB - Superb by Cashify","Cashify",,"https://www.cashify.in/buy-refurbished-mobile-phones/renewed-xiaomi-11i-hypercharge/99162?srsltid=AfmBOopwIAGIZGqR9kX3_Dy4A1TfhWGTcXnBtWfoeJZn9YD0ew3_xJpWPWA","0",,"₹18,499.00","Free delivery by Thu, 17 Aug","false",,"REFURBISHED"
"REDMI 11 PRIME 5G 4GB 64GB CHROME SILVER","Sangeetha Mobiles",,"https://www.sangeethamobiles.com/product-details/Redmi-11-Prime-5G-4GB-64GB-Chrome-Silver-Xiaomi/8678?srsltid=AfmBOoobn8HT-nYaROXubcaz1sKJ94qb9E8wnfIAcDR_qbMKxwitZ49Ey6E","0",,"₹12,999.00","Free delivery by Sun, 6 Aug","false",,"NEW"
"Redmi K50i 5G (6GB RAM, 128GB, Phantom Blue)","Vijay Sales",,"https://www.vijaysales.com/redmi-k50i-5g-6-gb-ram-128-gb-rom-phantom-blue/21895","0",,"₹20,999.00","Free delivery","false",,"NEW"
"Xiaomi 11i 5G","Arnav telecom",,"https://arnavtelecom.com/product/xiaomi-11i-5g/?attribute_pa_color=stealth-black&attribute_pa_variant=8gb128gb","0",,"₹26,999.00","Free delivery by Thu, 10 Aug","false",,"NEW"
"XIAOMI Mi 11i 5G 256GB Wei","eBay",,"https://www.ebay.com/itm/294241031714","0",,"₹86,496.96 + tax","Delivery date and cost shown at checkout","false",,"NEW"
"Xiaomi 11i Hypercharge 5G PURPLE MIST / 6GB 128GB","Jmdcommunication.com",,"https://jmdcommunication.com/products/xiaomi-11i-hypercharge-5g-1?variant=39758121467983&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopnlRwKChGm5ODQdgbNBrHhd0JCDHyF39wo9Oy7BLgFUEZgcVCeNMI","0",,"₹26,999.00","Free delivery by Tue, 15 Aug","false",,"NEW"
